aimgr'luh,R'lyehian,R'lyehian Type
speak,'ai,suffix
call,'ai,word
body,'bthnk,word
essence,'bthnk,word
mother,fhalma,word
sign,athg,word
contract,athg,word
agree,athg,word
go,bug,word
cross over,ch',word
travel,ch',word
brotherhood,chtenff,word
society,chtenff,word
pit,ebumma,word
answers,ee,word
cohesion,ehye,word
integrity,ehye,word
later,ep,word
then,ep,word
wait,fhtagn,word
sleep,fhtagn,word
burn,fm'latgh,word
skin,ftaghu,word
boundary,ftaghu,word
here,geb,word
father,gnaiih,word
children,gof'nn,word
grant,goka,word
wish,gotha,word
lost one,grah'n,word
larva,grah'n,word
priest,hafh'drn,word
summoner,hafh'drn,word
now,hai,word
heretic,hlirgh,word
followers,hrii,word
born of,hupadgh,word
expect,ilyaa,word
await,ilyaa,word
share,k'yarnak,word
exchange,k'yarnak,word
understand,kadishtu,word
know,kadishtu,word
question,kn'a,word
on pain of,li'hee,word
at,llll,word
beside,llll,word
mind,lloig,word
psyche,lloig,word
dream,lw'nafh,word
transmit,lw'nafh,word
worthless,mnahn',word
death,n'gha,word
darkness,n'ghft,word
threshold,nglui,word
anything,nilgh'ri,word
everything,nilgh'ri,word
come,nog,word
head,nw,word
place,nw,word
visit,ooboshu,word
soul,orr'e,word
spirit,orr'e,word
realm of information,phlegeth,word
secret,r'luh,word
hidden,r'luh,word
religion,ron,word
cult,ron,word
pact,s'uhn,word
share space,sgn'wahl,word
realm of dreams,shagg,word
realm of darkness,shogg,word
invite,sll'ha,word
ask,stell'bsna,word
pray for,stell'bsna,word
eternity,syha'h,word
promise,tharanak,word
bring,tharanak,word
tremble,throd,word
finish spell,uaaah,word
people,uh'e,word
crowd,uh'e,word
call,uln,word
summon,uln,word
pray to,vulgtlagin,word
prayer,vulgtm,word
reside in,wgah'n,word
control,wgah'n,word
amen,y'hah,word
I,ya,word
lift spell,zhro,word
place,-agl,suffix
time of,-yar,suffix
moment,-yar,suffix
I,y-,prefix
my,y-,prefix
they,f'-,prefix
their,f'-,prefix
it,h'-,prefix
its,h'-,prefix
yet,mg,conjunction
not,nafl-,prefix
and,ng-,prefix
then,ng-,prefix
watch,nnn-,prefix
protect,nnn-,prefix
servant of,-nyth,suffix
force from,-or,suffix
aspect of,-or,suffix
native of,-oth,suffix
over,ph'-,prefix
beyond,ph'-,prefx
notify,shtunggli,word
contact,shtunggli,word
realm of Earth,shugg,word
place,-agl,suffix
we,c-,prefix
our,c-,prefix
with hai,ep,word
later,ep,word
then,ep,word
time of,-yar,suffix
moment,-yar,suffix
